mapping_id,registry,source_snapshot,source_section,source_group,source_field,source_label,source_type,source_required,target_domain,target_entity,target_attribute,mapping_action,review_status
MAP-00001,HF,index (8).html,Demographics,Demographics,Doctor_Name,Entered By,select,Yes,Attribution,staff_profile,doctor_name,Refactor,Security review
MAP-00002,HF,index (8).html,Demographics,Demographics,Patient_Name,Name,text,Yes,Identity,patient,name,Refactor,Identity review
MAP-00003,HF,index (8).html,Demographics,Demographics,Civil_ID,Civil ID (12 digits),text,Yes,Identity,patient_identifier,identifier_value,Refactor,Identity review
MAP-00004,HF,index (8).html,Demographics,Demographics,File_No,File No (6 digits),text,Yes,Identity,patient_identifier,identifier_value,Refactor,Identity review
MAP-00005,HF,index (8).html,Demographics,Demographics,Age,Age,text,No,Demographics,patient,age,Reuse,Mapped shared core
MAP-00006,HF,index (8).html,Demographics,Demographics,Gender,Gender,select,No,Demographics,patient,gender,Reuse,Mapped shared core
MAP-00007,HF,index (8).html,Demographics,Demographics,Nationality,Nationality,select,No,Demographics,patient,nationality,Reuse,Mapped shared core
MAP-00008,HF,index (8).html,Demographics,Demographics,Mobile,Mobile,text,Yes,Contact,patient_contact,mobile,Refactor,Privacy review
MAP-00009,HF,index (8).html,Demographics,Demographics,Referred_From,Referred From,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00010,HF,index (8).html,Demographics,Demographics,Referred_From_Other,Specify Referral Source,text,No,Module extension,form_response,referred_from_other,Refactor,Domain review
MAP-00011,HF,index (8).html,HF Diagnosis,HF Diagnosis,HF_Type,Type of HF,select,No,Condition,condition,hf_type,Refactor,Terminology review
MAP-00012,HF,index (8).html,HF Diagnosis,HF Diagnosis,HF_Type_Other,Specify Other HF Type,text,No,Condition,condition,hf_type_other,Refactor,Terminology review
MAP-00013,HF,index (8).html,HF Diagnosis,HF Diagnosis,EF_Diagnosis,EF at Diagnosis (%),text,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00014,HF,index (8).html,HF Diagnosis,HF Diagnosis,Advanced_HF,Advanced HF,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00015,HF,index (8).html,HF Diagnosis,HF Diagnosis,DeNovo_HF,De Novo HF,select,No,Registry metadata,form_response,value,Refactor,Domain review
MAP-00016,HF,index (8).html,HF Diagnosis,HF Diagnosis,HF_Cause,Cause of HF,select,No,Module extension,form_response,hf_cause,Refactor,Domain review
MAP-00017,HF,index (8).html,HF Diagnosis,HF Diagnosis,Other_Cardio,Other Cardiomyopathies,text,No,Module extension,form_response,other_cardio,Refactor,Domain review
MAP-00018,HF,index (8).html,HF Diagnosis,HF Diagnosis,Valvular_Disease,Valvular Disease,select,No,Diagnostic study,imaging_study,valvular_disease,Refactor,Imaging review
MAP-00019,HF,index (8).html,HF Diagnosis,HF Diagnosis,Valvular_Type,Valvular Type,hidden,No,Condition,condition,valvular_type,Refactor,Terminology review
MAP-00020,HF,index (8).html,HF Diagnosis,HF Diagnosis,Admissions,Number of Admissions Last Year,text,No,Episode,care_episode,admissions,Refactor,Mapped shared core
MAP-00021,HF,index (8).html,HF Diagnosis,HF Diagnosis,Last_Admission,Last Admission Date,date,No,Episode,care_episode,last_admission,Refactor,Mapped shared core
MAP-00022,HF,index (8).html,HF Diagnosis,HF Diagnosis,LOS,Length of Stay (Days),text,No,Episode,care_episode,los,Refactor,Mapped shared core
MAP-00023,HF,index (8).html,HF Diagnosis,HF Diagnosis,ECG_Image_FilePick,ECG Image File Pick,file,No,Diagnostic study,imaging_study,ecg_image_filepick,Refactor,Imaging review
MAP-00024,HF,index (8).html,HF Diagnosis,HF Diagnosis,ECG_Image_FileCam,ECG Image File Cam,file,No,Diagnostic study,imaging_study,ecg_image_filecam,Refactor,Imaging review
MAP-00025,HF,index (8).html,HF Diagnosis,HF Diagnosis,ECG_Image_File,ECG Image File,hidden,No,Diagnostic study,imaging_study,ecg_image_file,Refactor,Imaging review
MAP-00026,HF,index (8).html,HF Diagnosis,HF Diagnosis,ECG_Image,ECG Image,hidden,No,Diagnostic study,imaging_study,ecg_image,Refactor,Imaging review
